t[us];I[A];U[V];P[W];calka
1;30,31;3,543;107,39;53,7
2;30,71;3,583;110,03;55,02
3;30,71;3,661;112,43;56,22
4;30,71;3,583;110,03;55,02
5;31,5;3,543;111,6;55,8
6;32,28;3,504;113,11;56,56
7;32,68;3,465;113,24;56,62
8;32,28;3,583;115,66;57,83
9;32,28;3,543;114,37;57,18
10;33,46;3,504;117,24;58,62
11;33,86;3,425;115,97;57,98
12;34,65;3,425;118,68;59,34
13;34,25;3,425;117,31;58,66
14;34,25;3,504;120,01;60
15;34,65;3,425;118,68;59,34
16;35,43;3,386;119,97;59,98
17;35,83;3,346;119,89;59,94
18;35,83;3,425;122,72;61,36
19;35,43;3,425;121,35;60,68
20;35,43;3,425;121,35;60,68
21;36,61;3,346;122,5;61,25
22;37,01;3,346;123,84;61,92
23;36,61;3,386;123,96;61,98
24;36,61;3,425;125,39;62,7
25;36,61;3,425;125,39;62,7
26;37,4;3,346;125,14;62,57
27;37,8;3,346;126,48;63,24
28;37,4;3,386;126,64;63,32
29;37,4;3,425;128,1;64,05
30;37,01;3,386;125,32;62,66
31;38,19;3,307;126,29;63,14
32;38,19;3,268;124,8;62,4
33;38,19;3,346;127,78;63,89
34;38,19;3,386;129,31;64,66
35;37,8;3,386;127,99;64
36;38,19;3,268;124,8;62,4
37;38,58;3,268;126,08;63,04
38;38,58;3,346;129,09;64,54
39;38,19;3,346;127,78;63,89
40;38,19;3,346;127,78;63,89
41;38,58;3,268;126,08;63,04
42;38,58;3,189;123,03;61,52
43;38,58;3,268;126,08;63,04
44;38,19;3,386;129,31;64,66
45;38,58;3,346;129,09;64,54
46;38,58;3,307;127,58;63,79
47;38,98;3,268;127,39;63,7
48;38,98;3,268;127,39;63,7
49;38,58;3,268;126,08;63,04
50;38,58;3,346;129,09;64,54
51;38,58;3,307;127,58;63,79
52;38,98;3,268;127,39;63,7
53;38,98;3,268;127,39;63,7
54;38,58;3,268;126,08;63,04
55;38,58;3,268;126,08;63,04
56;38,98;3,268;127,39;63,7
57;39,37;3,228;127,09;63,54
58;39,37;3,228;127,09;63,54
59;38,98;3,268;127,39;63,7
60;38,58;3,268;126,08;63,04
61;38,58;3,268;126,08;63,04
62;38,98;3,228;125,83;62,92
63;38,98;3,228;125,83;62,92
64;38,98;3,228;125,83;62,92
65;38,58;3,268;126,08;63,04
66;38,58;3,228;124,54;62,27
67;38,98;3,189;124,31;62,16
68;38,98;3,228;125,83;62,92
69;38,58;3,228;124,54;62,27
70;38,58;3,307;127,58;63,79
71;38,58;3,228;124,54;62,27
72;38,58;3,189;123,03;61,52
73;38,98;3,228;125,83;62,92
74;38,58;3,268;126,08;63,04
75;38,58;3,228;124,54;62,27
76;38,58;3,268;126,08;63,04
77;38,98;3,228;125,83;62,92
78;38,58;3,228;124,54;62,27
79;38,58;3,268;126,08;63,04
80;38,58;3,268;126,08;63,04
81;38,58;3,268;126,08;63,04
82;38,98;3,189;124,31;62,16
83;38,98;3,228;125,83;62,92
84;38,58;3,268;126,08;63,04
85;38,58;3,268;126,08;63,04
86;38,58;3,268;126,08;63,04
87;38,58;3,228;124,54;62,27
88;38,58;3,189;123,03;61,52
89;38,58;3,189;123,03;61,52
90;38,19;3,268;124,8;62,4
91;38,58;3,228;124,54;62,27
92;38,58;3,189;123,03;61,52
93;38,58;3,228;124,54;62,27
94;38,58;3,228;124,54;62,27
95;38,19;3,228;123,28;61,64
96;38,58;3,228;124,54;62,27
97;38,19;3,189;121,79;60,9
98;38,58;3,228;124,54;62,27
99;38,19;3,228;123,28;61,64
100;38,19;3,268;124,8;62,4
101;38,19;3,228;123,28;61,64
102;38,19;3,189;121,79;60,9
103;38,19;3,189;121,79;60,9
104;38,58;3,268;126,08;63,04
105;38,19;3,228;123,28;61,64
106;38,19;3,268;124,8;62,4
107;38,19;3,15;120,3;60,15
108;38,58;3,228;124,54;62,27
109;38,19;3,189;121,79;60,9
110;38,19;3,228;123,28;61,64
111;38,19;3,189;121,79;60,9
112;38,19;3,189;121,79;60,9
113;38,58;3,15;121,53;60,76
114;38,19;3,228;123,28;61,64
115;38,19;3,189;121,79;60,9
116;37,8;3,228;122,02;61,01
117;38,19;3,189;121,79;60,9
118;38,19;3,11;118,77;59,38
119;38,19;3,228;123,28;61,64
120;37,8;3,228;122,02;61,01
121;37,8;3,228;122,02;61,01
122;38,19;3,228;123,28;61,64
123;38,19;3,189;121,79;60,9
124;38,19;3,228;123,28;61,64
125;37,8;3,228;122,02;61,01
